action,ball_col,ball_row,bar_col,label,prev_ball_col,prev_ball_row,prev_bar_col,time1,time2
0.0,2.0,7.0,2.0,1.0,2.0,6.0,2.0,59.0719999045,59.0750043443
0.0,2.0,8.0,2.0,1.0,2.0,7.0,2.0,60.2159999027,60.2195095315
0.0,2.0,9.0,2.0,1.0,2.0,8.0,2.0,61.4639999007,61.4713135939
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,64.1119998966,64.1153651548
0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,65.4959998943,65.497196706
0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,66.7999998922,66.8044828172
0.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,68.2799998897,68.2811301022
0.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,69.5119998876,69.5189343062
2.0,1.0,6.0,0.0,0.0,1.0,5.0,1.0,70.5279998861,70.5334373864
0.0,1.0,7.0,0.0,0.0,1.0,6.0,0.0,71.6399998844,71.644342253
1.0,1.0,8.0,1.0,1.0,1.0,7.0,0.0,72.6639998828,72.6648842248
0.0,1.0,9.0,1.0,1.0,1.0,8.0,1.0,74.1119998803,74.1127093462
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,76.9119998759,76.9193645469
2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,78.2719998735,78.2758009429
1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,79.4719998718,79.472462307
0.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,80.6799998695,80.6807345629
2.0,1.0,5.0,0.0,0.0,1.0,4.0,1.0,81.8319998677,81.8373527639
1.0,1.0,6.0,1.0,1.0,1.0,5.0,0.0,83.1919998657,83.1978404375
0.0,1.0,7.0,1.0,1.0,1.0,6.0,1.0,84.3119998639,84.3157925322
2.0,1.0,8.0,0.0,0.0,1.0,7.0,1.0,85.7039998616,85.7100784883
1.0,1.0,9.0,1.0,1.0,1.0,8.0,0.0,86.9839998595,86.9860032687
1.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,89.183999856,89.190640979
2.0,3.0,2.0,1.0,0.0,3.0,1.0,2.0,90.6239998536,90.629354323
1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,91.8639998517,91.8706757992
1.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,93.2159998494,93.2220997408
0.0,3.0,5.0,3.0,1.0,3.0,4.0,3.0,94.655999847,94.662410154
1.0,3.0,6.0,4.0,0.0,3.0,5.0,3.0,95.9839998451,95.9895028416
2.0,3.0,7.0,3.0,1.0,3.0,6.0,4.0,97.3119998428,97.3171101159
0.0,3.0,8.0,3.0,1.0,3.0,7.0,3.0,98.5839998408,98.5872338088
0.0,3.0,9.0,3.0,1.0,3.0,8.0,3.0,100.0799998385,100.0837669547
2.0,4.0,1.0,2.0,0.0,4.0,0.0,3.0,102.5039998344,102.5063759931
1.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,103.9359998321,103.9433204192
1.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,105.21599983,105.22272206
0.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,106.4399998281,106.4425677406
0.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,107.6319998263,107.6370368828
0.0,4.0,6.0,4.0,1.0,4.0,5.0,4.0,109.1279998238,109.12891362
0.0,4.0,7.0,4.0,1.0,4.0,6.0,4.0,110.4799998214,110.4852503876
0.0,4.0,8.0,4.0,1.0,4.0,7.0,4.0,111.6399998197,111.6453909124
0.0,4.0,9.0,4.0,1.0,4.0,8.0,4.0,112.6559998179,112.661933372
1.0,8.0,1.0,5.0,1.0,8.0,0.0,4.0,114.7839998147,114.7915309011
1.0,8.0,2.0,6.0,1.0,8.0,1.0,5.0,116.287999812,116.2954603382
1.0,8.0,3.0,7.0,1.0,8.0,2.0,6.0,117.5039998102,117.5117729923
0.0,8.0,4.0,7.0,0.0,8.0,3.0,7.0,118.7119998082,118.7127123715
1.0,8.0,5.0,8.0,1.0,8.0,4.0,7.0,119.9279998064,119.933578731
0.0,8.0,6.0,8.0,1.0,8.0,5.0,8.0,121.1839998043,121.1872730744
0.0,8.0,7.0,8.0,1.0,8.0,6.0,8.0,122.5039998021,122.5087308292
0.0,8.0,8.0,8.0,1.0,8.0,7.0,8.0,123.7039998001,123.7115142932
0.0,8.0,9.0,8.0,1.0,8.0,8.0,8.0,124.8079997983,124.8136760667
0.0,9.0,1.0,9.0,1.0,9.0,0.0,9.0,127.4399997941,127.4456169729
0.0,9.0,2.0,9.0,1.0,9.0,1.0,9.0,128.6159997922,128.6192909528
1.0,9.0,3.0,9.0,1.0,9.0,2.0,9.0,129.8879997903,129.8931439102
0.0,9.0,4.0,9.0,1.0,9.0,3.0,9.0,131.3759997878,131.3760317664
0.0,9.0,5.0,9.0,1.0,9.0,4.0,9.0,132.6959997858,132.7025901375
0.0,9.0,6.0,9.0,1.0,9.0,5.0,9.0,134.1919997833,134.1945476762
0.0,9.0,7.0,9.0,1.0,9.0,6.0,9.0,135.2559997817,135.2609914548
0.0,9.0,8.0,9.0,1.0,9.0,7.0,9.0,136.3919997797,136.3981632667
0.0,9.0,9.0,9.0,1.0,9.0,8.0,9.0,137.5839997779,137.5890601166
